id,名前,税込価格,エネルギー,タンパク質,脂質,炭水化物,塩分,赤点,緑点,黄点
10290,（中）唐揚げ親子丼（(Medium size)Deep-fried chicken cooked with beaten egg bowl）,451,814,26.2,21.4,121.6,3.3,2.5,0.0,7.6
10289,（小）唐揚げ親子丼（(Small size)Deep-fried chicken cooked with beaten egg bowl）,385,594,19.2,15.8,88.1,2.3,1.8,0.0,5.5
10242,（大）チキン竜田丼（(Large size)Bowl of rice topped with deep-fried chicken）,594,1177,33.2,46.2,148.6,4.0,3.9,0.0,10.4
10241,（中）チキン竜田丼（(Medium size)Bowl of rice topped with deep-fried chicken）,506,900,25.2,34.7,115.2,3.1,2.9,0.0,8.0
10240,（小）チキン竜田丼（(Small size)Bowl of rice topped with deep-fried chicken）,440,623,17.2,23.1,81.8,2.1,1.9,0.0,5.6
10287,（大）ガリたま唐揚げ丼（(Large size)Deep-fried chicken with garlic sauce and soft-boiled egg bowl）,594,1065,35.7,27.1,158.2,3.2,3.5,0.0,9.8
10286,（中）ガリたま唐揚げ丼（(Medium size)Deep-fried chicken with garlic sauce and soft-boiled egg bowl）,506,856,29.6,22.8,123.8,2.5,3.0,0.0,7.6
10285,（小）ガリたま唐揚げ丼（(Small size)Deep-fried chicken with garlic sauce and soft-boiled egg bowl）,440,647,23.6,18.5,89.4,1.8,2.5,0.0,5.5
10280,塩だれチキン丼（Grilled chicken with salt-based sauce bowl， Boiled spinach with sesame paste）,451,733,31.9,19.0,99.6,2.1,2.7,0.1,6.0
10279,山かけネギトロ丼（Raw minced tuna & green onion with grated yam rice bowl）,539,621,20.4,8.9,108.3,2.4,0.6,0.6,6.5
10278,（大）豚塩焼肉丼（(Large size)Stir-fried pork with salt-based sauce bowl）,506,1066,48.1,34.3,128.4,1.8,5.5,0.2,7.7
10277,（中）豚塩焼肉丼（(Medium size)Stir-fried pork with salt-based sauce bowl）,418,797,35.0,24.5,99.6,1.3,3.9,0.1,5.9
10276,（小）豚塩焼肉丼（(Small size)Stir-fried pork with salt-based sauce bowl）,352,567,24.7,17.1,71.6,0.9,2.8,0.1,4.3
10275,（大）ヒレカツ玉子丼（(Large size)Rice bowl topped with fillet cutlet and eggs）,539,1023,30.7,30.0,148.9,4.2,1.4,0.0,11.1
10274,（中）ヒレカツ玉子丼（(Medium size)Rice bowl topped with fillet cutlet and eggs）,451,750,21.9,20.3,113.2,3.0,1.0,0.0,8.2
10273,（小）ヒレカツ玉子丼（(Small size)Rice bowl topped with fillet cutlet and eggs）,385,485,13.5,11.2,78.2,1.9,0.6,0.0,5.4
10268,（大）唐揚げとろろ丼（(Large size)Deep-fried chicken and grated yam bowl）,539,916,26.2,16.4,156.9,1.7,2.0,0.8,8.6
10267,（中）唐揚げとろろ丼（(Medium size)Deep-fried chicken and grated yam bowl）,451,702,19.9,12.3,120.8,1.3,1.5,0.6,6.7
10266,（小）唐揚げとろろ丼（(Small size)Deep-fried chicken and grated yam bowl）,385,492,13.7,8.2,85.9,0.9,1.0,0.4,4.7
10239,（大）辛みそ豚丼（(Large size)Rice bowl topped with pork and spicy miso）,506,957,39.0,22.3,138.9,2.5,3.9,0.3,7.9
10238,（中）辛みそ豚丼（(Medium size)Rice bowl topped with pork and spicy miso）,418,720,28.5,16.0,107.1,1.8,2.8,0.2,6.1
10237,（小）辛みそ豚丼（(Small size)Rice bowl topped with pork and spicy miso）,352,513,20.1,11.2,76.8,1.3,1.9,0.1,4.4
10259,（大）チキン味噌カツ丼（(Large size)Chicken cutlets with miso sauce bowl）,539,1150,36.6,35.1,163.5,4.5,3.1,0.0,11.4
10258,（中）チキン味噌カツ丼（(Medium size)Chicken cutlets with miso sauce bowl）,451,835,25.7,23.5,123.7,3.1,2.0,0.0,8.5
10257,（小）チキン味噌カツ丼（(Small size)Chicken cutlets with miso sauce bowl）,385,531,15.0,12.2,85.7,1.9,1.0,0.0,5.6
10262,（大）鶏照り丼（(Large size)Sautéed chicken with teriyaki sauce bowl）,539,810,32.6,8.7,141.0,3.1,2.0,0.3,7.7
10261,（中）鶏照り丼（(Medium size)Sautéed chicken with teriyaki sauce bowl）,451,615,23.9,6.2,108.6,2.2,1.5,0.2,5.9
10260,（小）鶏照り丼（(Small size)Sautéed chicken with teriyaki sauce bowl）,385,440,16.9,4.3,78.1,1.5,1.0,0.1,4.3
10265,（大）回鍋肉丼（(Large size)Twice-cooked pork bowl）,539,1027,45.0,30.4,130.9,1.6,4.8,0.3,7.7
10264,（中）回鍋肉丼（(Medium size)Twice-cooked pork bowl）,451,770,32.8,21.7,101.4,1.1,3.4,0.2,6.0
10263,（小）回鍋肉丼（(Small size)Twice-cooked pork bowl）,385,547,23.1,15.2,72.8,0.8,2.4,0.2,4.3
10288,鮭丼（Salmon Rice Bowl）,506,554,18.4,7.1,98.0,2.6,1.4,0.0,5.5
10246,（大）スタミナ焼肉丼（(Large size)Rice bowl topped with grilled-meat， garlic shoots）,506,938,39.0,21.7,136.6,1.7,3.9,0.5,7.3
10245,（中）スタミナ焼肉丼（(Medium size)Rice bowl topped with grilled-meat， garlic shoots）,418,707,28.5,15.5,105.5,1.2,2.8,0.4,5.7
